,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
510,less_than_0_dm,12,existing_credits_paid_back_till_now,car_new,759,less_than_100_dm,4_7_years,4,male_single,none,2,real_estate,26,none,own,1,skilled_employee,1,none,yes,1,2
511,no_checking_account,36,existing_credits_paid_back_till_now,car_used,4686,less_than_100_dm,1_4_years,2,male_single,none,2,unknown_or_no_property,32,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
512,greater_than_200_dm,15,existing_credits_paid_back_till_now,business,2687,less_than_100_dm,4_7_years,2,male_single,none,4,savings_agreement_life_insurance,26,none,rent,1,skilled_employee,1,yes,yes,0,1
513,0_to_200_dm,12,delay_in_past,radio_television,585,less_than_100_dm,1_4_years,4,male_married_widowed,co_applicant,4,real_estate,20,none,rent,2,skilled_employee,1,none,yes,0,1
514,no_checking_account,24,existing_credits_paid_back_till_now,car_new,2255,unknown_or_no_savings_account,0_1_year,4,male_single,none,1,savings_agreement_life_insurance,54,none,own,1,skilled_employee,1,none,yes,0,1
515,less_than_0_dm,6,critical_account,car_new,609,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,3,savings_agreement_life_insurance,37,none,own,2,skilled_employee,1,none,no,0,1
516,less_than_0_dm,6,critical_account,car_new,1361,less_than_100_dm,0_1_year,2,male_single,none,4,real_estate,40,none,own,1,unskilled_resident,2,none,no,0,1
517,no_checking_account,36,critical_account,furniture_equipment,7127,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,23,none,rent,2,skilled_employee,1,yes,yes,1,2
518,less_than_0_dm,6,existing_credits_paid_back_till_now,car_new,1203,100_to_500_dm,7_more_years,3,male_single,none,2,savings_agreement_life_insurance,43,none,own,1,skilled_employee,1,yes,yes,0,1
519,no_checking_account,6,critical_account,radio_television,700,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,36,none,for_free,2,skilled_employee,1,none,yes,0,1
520,no_checking_account,24,critical_account,repairs,5507,less_than_100_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,44,none,for_free,2,skilled_employee,1,none,yes,0,1
521,less_than_0_dm,18,existing_credits_paid_back_till_now,radio_television,3190,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,real_estate,24,none,own,1,skilled_employee,1,none,yes,1,2
522,less_than_0_dm,48,no_credits_taken,furniture_equipment,7119,less_than_100_dm,1_4_years,3,male_single,none,4,unknown_or_no_property,53,none,for_free,2,skilled_employee,2,none,yes,1,2
523,no_checking_account,24,existing_credits_paid_back_till_now,car_used,3488,100_to_500_dm,4_7_years,3,female_divorced_separated_married,none,4,car_or_other,23,none,own,1,skilled_employee,1,none,yes,0,1
524,0_to_200_dm,18,existing_credits_paid_back_till_now,radio_television,1113,less_than_100_dm,1_4_years,4,female_divorced_separated_married,guarantor,4,real_estate,26,none,own,1,unskilled_resident,2,none,yes,0,1
525,0_to_200_dm,26,existing_credits_paid_back_till_now,car_used,7966,less_than_100_dm,0_1_year,2,male_single,none,3,car_or_other,30,none,own,2,skilled_employee,1,none,yes,0,1
526,no_checking_account,15,critical_account,education,1532,100_to_500_dm,1_4_years,4,female_divorced_separated_married,none,3,car_or_other,31,none,own,1,skilled_employee,1,none,yes,0,1
527,no_checking_account,4,critical_account,radio_television,1503,less_than_100_dm,4_7_years,2,male_single,none,1,real_estate,42,none,own,2,unskilled_resident,2,none,yes,0,1
528,less_than_0_dm,36,existing_credits_paid_back_till_now,radio_television,2302,less_than_100_dm,1_4_years,4,male_divorced_separated,none,4,car_or_other,31,none,rent,1,skilled_employee,1,none,yes,1,2
529,less_than_0_dm,6,existing_credits_paid_back_till_now,car_new,662,less_than_100_dm,0_1_year,3,male_single,none,4,real_estate,41,none,own,1,unskilled_resident,2,yes,yes,0,1
530,0_to_200_dm,36,existing_credits_paid_back_till_now,education,2273,less_than_100_dm,4_7_years,3,male_single,none,1,car_or_other,32,none,own,2,skilled_employee,2,none,yes,0,1
531,0_to_200_dm,15,existing_credits_paid_back_till_now,car_new,2631,100_to_500_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,28,none,rent,2,skilled_employee,1,yes,yes,1,2
532,no_checking_account,12,delay_in_past,car_used,1503,less_than_100_dm,1_4_years,4,male_married_widowed,none,4,real_estate,41,none,rent,1,skilled_employee,1,none,yes,0,1
533,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1311,100_to_500_dm,4_7_years,4,male_married_widowed,none,3,savings_agreement_life_insurance,26,none,own,1,skilled_employee,1,yes,yes,0,1
534,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,3105,unknown_or_no_savings_account,0_1_year,4,male_single,none,2,car_or_other,25,none,own,2,skilled_employee,1,none,yes,0,1
535,greater_than_200_dm,21,critical_account,education,2319,less_than_100_dm,0_1_year,2,male_divorced_separated,none,1,car_or_other,33,none,rent,1,skilled_employee,1,none,yes,1,2
536,less_than_0_dm,6,existing_credits_paid_back_till_now,car_new,1374,unknown_or_no_savings_account,unemployed,4,female_divorced_separated_married,none,3,savings_agreement_life_insurance,75,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
537,0_to_200_dm,18,critical_account,furniture_equipment,3612,less_than_100_dm,7_more_years,3,female_divorced_separated_married,none,4,savings_agreement_life_insurance,37,none,own,1,skilled_employee,1,yes,yes,0,1
538,less_than_0_dm,48,existing_credits_paid_back_till_now,car_new,7763,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,42,bank,for_free,1,management_self_employed_highly_qualified,1,none,yes,1,2
539,greater_than_200_dm,18,existing_credits_paid_back_till_now,furniture_equipment,3049,less_than_100_dm,0_1_year,1,female_divorced_separated_married,none,1,savings_agreement_life_insurance,45,stores,own,1,unskilled_resident,1,none,yes,0,1
540,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1534,less_than_100_dm,0_1_year,1,male_married_widowed,none,1,real_estate,23,none,rent,1,skilled_employee,1,none,yes,1,2
541,no_checking_account,24,delay_in_past,car_new,2032,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,60,none,for_free,2,skilled_employee,1,yes,yes,0,1
542,less_than_0_dm,30,existing_credits_paid_back_till_now,furniture_equipment,6350,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,31,none,own,1,skilled_employee,1,none,yes,1,2
543,greater_than_200_dm,18,existing_credits_paid_back_till_now,furniture_equipment,2864,less_than_100_dm,1_4_years,2,male_single,none,1,real_estate,34,none,own,1,unskilled_resident,2,none,yes,1,2
544,no_checking_account,12,critical_account,car_new,1255,less_than_100_dm,7_more_years,4,male_single,none,4,real_estate,61,none,own,2,unskilled_resident,1,none,yes,0,1
545,less_than_0_dm,24,delay_in_past,car_new,1333,less_than_100_dm,unemployed,4,male_single,none,2,real_estate,43,none,for_free,2,skilled_employee,2,none,yes,1,2
546,no_checking_account,24,critical_account,car_new,2022,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,4,car_or_other,37,none,own,1,skilled_employee,1,yes,yes,0,1
547,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1552,less_than_100_dm,4_7_years,3,male_single,none,1,car_or_other,32,bank,own,1,skilled_employee,2,none,yes,0,1
548,less_than_0_dm,12,all_credits_paid_back,radio_television,626,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,4,real_estate,24,bank,own,1,unskilled_resident,1,none,yes,1,2
549,no_checking_account,48,critical_account,car_used,8858,unknown_or_no_savings_account,4_7_years,2,male_single,none,1,unknown_or_no_property,35,none,for_free,2,skilled_employee,1,yes,yes,0,1
550,no_checking_account,12,critical_account,repairs,996,unknown_or_no_savings_account,4_7_years,4,female_divorced_separated_married,none,4,real_estate,23,none,own,2,skilled_employee,1,none,yes,0,1
551,no_checking_account,6,all_credits_paid_back,radio_television,1750,500_to_1000_dm,7_more_years,2,male_single,none,4,savings_agreement_life_insurance,45,bank,own,1,unskilled_resident,2,none,yes,0,1
552,less_than_0_dm,48,existing_credits_paid_back_till_now,radio_television,6999,less_than_100_dm,4_7_years,1,male_married_widowed,guarantor,1,real_estate,34,none,own,2,skilled_employee,1,yes,yes,1,2
553,0_to_200_dm,12,critical_account,car_new,1995,100_to_500_dm,0_1_year,4,male_single,none,1,car_or_other,27,none,own,1,skilled_employee,1,none,yes,0,1
554,0_to_200_dm,9,existing_credits_paid_back_till_now,education,1199,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,67,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
555,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1331,less_than_100_dm,0_1_year,2,male_single,none,1,car_or_other,22,stores,own,1,skilled_employee,1,none,yes,1,2
556,0_to_200_dm,18,no_credits_taken,car_new,2278,100_to_500_dm,0_1_year,3,female_divorced_separated_married,none,3,car_or_other,28,none,own,2,skilled_employee,1,none,yes,1,2
557,no_checking_account,21,no_credits_taken,car_new,5003,unknown_or_no_savings_account,1_4_years,1,female_divorced_separated_married,none,4,savings_agreement_life_insurance,29,bank,own,2,skilled_employee,1,yes,yes,1,2
558,less_than_0_dm,24,all_credits_paid_back,furniture_equipment,3552,less_than_100_dm,4_7_years,3,male_single,none,4,car_or_other,27,bank,own,1,skilled_employee,1,none,yes,1,2
559,0_to_200_dm,18,critical_account,furniture_equipment,1928,less_than_100_dm,0_1_year,2,male_single,none,2,real_estate,31,none,own,2,unskilled_resident,1,none,yes,1,2
560,less_than_0_dm,24,existing_credits_paid_back_till_now,car_used,2964,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,49,bank,for_free,1,skilled_employee,2,yes,yes,0,1
561,less_than_0_dm,24,all_credits_paid_back,radio_television,1546,less_than_100_dm,4_7_years,4,male_single,guarantor,4,car_or_other,24,bank,rent,1,unskilled_resident,1,none,yes,1,2
562,greater_than_200_dm,6,delay_in_past,radio_television,683,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,1,savings_agreement_life_insurance,29,bank,own,1,skilled_employee,1,none,yes,0,1
563,0_to_200_dm,36,existing_credits_paid_back_till_now,car_new,12389,unknown_or_no_savings_account,1_4_years,1,male_single,none,4,unknown_or_no_property,37,none,for_free,1,skilled_employee,1,yes,yes,1,2
564,0_to_200_dm,24,delay_in_past,business,4712,unknown_or_no_savings_account,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,37,bank,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
565,0_to_200_dm,24,delay_in_past,radio_television,1553,100_to_500_dm,4_7_years,3,female_divorced_separated_married,none,2,savings_agreement_life_insurance,23,none,rent,2,skilled_employee,1,yes,yes,0,1
566,less_than_0_dm,12,existing_credits_paid_back_till_now,car_new,1372,less_than_100_dm,4_7_years,2,male_divorced_separated,none,3,car_or_other,36,none,own,1,skilled_employee,1,none,yes,1,2
567,no_checking_account,24,critical_account,radio_television,2578,greater_than_1000_dm,7_more_years,2,male_single,none,2,car_or_other,34,none,own,1,skilled_employee,1,none,yes,0,1
568,0_to_200_dm,48,existing_credits_paid_back_till_now,radio_television,3979,unknown_or_no_savings_account,4_7_years,4,male_single,none,1,car_or_other,41,none,own,2,skilled_employee,2,yes,yes,0,1
569,less_than_0_dm,48,existing_credits_paid_back_till_now,radio_television,6758,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,2,car_or_other,31,none,own,1,skilled_employee,1,yes,yes,1,2
570,less_than_0_dm,24,existing_credits_paid_back_till_now,furniture_equipment,3234,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,real_estate,23,none,rent,1,unskilled_resident,1,yes,yes,1,2
571,no_checking_account,30,critical_account,radio_television,5954,less_than_100_dm,4_7_years,3,male_single,co_applicant,2,car_or_other,38,none,own,1,skilled_employee,1,none,yes,0,1
572,no_checking_account,24,existing_credits_paid_back_till_now,car_used,5433,unknown_or_no_savings_account,unemployed,2,female_divorced_separated_married,none,4,savings_agreement_life_insurance,26,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,0,1
573,less_than_0_dm,15,existing_credits_paid_back_till_now,business,806,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,22,none,own,1,unskilled_resident,1,none,yes,0,1
574,0_to_200_dm,9,existing_credits_paid_back_till_now,radio_television,1082,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,27,none,own,2,unskilled_resident,1,none,yes,0,1
575,no_checking_account,15,critical_account,furniture_equipment,2788,less_than_100_dm,4_7_years,2,female_divorced_separated_married,co_applicant,3,car_or_other,24,bank,own,2,skilled_employee,1,none,yes,0,1
576,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,2930,less_than_100_dm,4_7_years,2,female_divorced_separated_married,none,1,real_estate,27,none,own,1,skilled_employee,1,none,yes,0,1
577,no_checking_account,24,critical_account,education,1927,unknown_or_no_savings_account,1_4_years,3,female_divorced_separated_married,none,2,car_or_other,33,none,own,2,skilled_employee,1,yes,yes,0,1
578,0_to_200_dm,36,critical_account,car_new,2820,less_than_100_dm,0_1_year,4,male_divorced_separated,none,4,car_or_other,27,none,own,2,skilled_employee,1,none,yes,1,2
579,no_checking_account,24,existing_credits_paid_back_till_now,retraining,937,less_than_100_dm,0_1_year,4,male_married_widowed,none,3,car_or_other,27,none,own,2,unskilled_resident,1,none,yes,0,1
580,0_to_200_dm,18,critical_account,car_new,1056,less_than_100_dm,7_more_years,3,male_single,guarantor,3,real_estate,30,bank,own,2,skilled_employee,1,none,yes,1,2
581,0_to_200_dm,12,critical_account,car_new,3124,less_than_100_dm,0_1_year,1,male_single,none,3,real_estate,49,bank,own,2,unskilled_resident,2,none,yes,0,1
582,no_checking_account,9,existing_credits_paid_back_till_now,furniture_equipment,1388,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,2,real_estate,26,none,rent,1,skilled_employee,1,none,yes,0,1
583,0_to_200_dm,36,existing_credits_paid_back_till_now,repairs,2384,less_than_100_dm,0_1_year,4,male_single,none,1,unknown_or_no_property,33,none,rent,1,unskilled_resident,1,none,yes,1,2
584,no_checking_account,12,existing_credits_paid_back_till_now,car_new,2133,unknown_or_no_savings_account,7_more_years,4,female_divorced_separated_married,none,4,unknown_or_no_property,52,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
585,less_than_0_dm,18,existing_credits_paid_back_till_now,furniture_equipment,2039,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,4,real_estate,20,bank,rent,1,skilled_employee,1,none,yes,1,2
586,less_than_0_dm,9,critical_account,car_new,2799,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,36,none,rent,2,skilled_employee,2,none,yes,0,1
587,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1289,less_than_100_dm,1_4_years,4,male_single,guarantor,1,savings_agreement_life_insurance,21,none,own,1,unskilled_resident,1,none,yes,0,1
588,less_than_0_dm,18,existing_credits_paid_back_till_now,domestic_appliances,1217,less_than_100_dm,1_4_years,4,male_married_widowed,none,3,real_estate,47,none,own,1,unskilled_resident,1,yes,yes,1,2
589,less_than_0_dm,12,critical_account,furniture_equipment,2246,less_than_100_dm,7_more_years,3,male_single,none,3,savings_agreement_life_insurance,60,none,own,2,skilled_employee,1,none,yes,1,2
590,less_than_0_dm,12,critical_account,radio_television,385,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,3,real_estate,58,none,own,4,unskilled_resident,1,yes,yes,0,1
591,0_to_200_dm,24,delay_in_past,car_new,1965,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,4,car_or_other,42,none,rent,2,skilled_employee,1,yes,yes,0,1
592,no_checking_account,21,existing_credits_paid_back_till_now,business,1572,greater_than_1000_dm,7_more_years,4,female_divorced_separated_married,none,4,real_estate,36,bank,own,1,unskilled_resident,1,none,yes,0,1
593,0_to_200_dm,24,existing_credits_paid_back_till_now,car_new,2718,less_than_100_dm,1_4_years,3,female_divorced_separated_married,none,4,savings_agreement_life_insurance,20,none,rent,1,unskilled_resident,1,yes,yes,1,2
594,less_than_0_dm,24,all_credits_paid_back,others,1358,unknown_or_no_savings_account,7_more_years,4,male_single,none,3,car_or_other,40,stores,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
595,0_to_200_dm,6,all_credits_paid_back,car_new,931,100_to_500_dm,0_1_year,1,female_divorced_separated_married,none,1,savings_agreement_life_insurance,32,stores,own,1,unskilled_resident,1,none,yes,1,2
596,less_than_0_dm,24,existing_credits_paid_back_till_now,car_new,1442,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,4,car_or_other,23,none,rent,2,skilled_employee,1,none,yes,1,2
597,0_to_200_dm,24,no_credits_taken,business,4241,less_than_100_dm,1_4_years,1,male_single,none,4,real_estate,36,none,own,3,unskilled_resident,1,yes,yes,1,2
598,no_checking_account,18,critical_account,car_new,2775,less_than_100_dm,4_7_years,2,male_single,none,2,savings_agreement_life_insurance,31,bank,own,2,skilled_employee,1,none,yes,1,2
599,no_checking_account,24,delay_in_past,business,3863,less_than_100_dm,1_4_years,1,male_single,none,2,unknown_or_no_property,32,none,for_free,1,skilled_employee,1,none,yes,0,1
600,0_to_200_dm,7,existing_credits_paid_back_till_now,radio_television,2329,less_than_100_dm,0_1_year,1,female_divorced_separated_married,guarantor,1,real_estate,45,none,own,1,skilled_employee,1,none,yes,0,1
601,0_to_200_dm,9,existing_credits_paid_back_till_now,furniture_equipment,918,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,1,savings_agreement_life_insurance,30,none,own,1,skilled_employee,1,none,yes,1,2
602,0_to_200_dm,24,all_credits_paid_back,education,1837,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,4,unknown_or_no_property,34,bank,for_free,1,unskilled_resident,1,none,yes,1,2
603,no_checking_account,36,existing_credits_paid_back_till_now,furniture_equipment,3349,less_than_100_dm,1_4_years,4,female_divorced_separated_married,none,2,car_or_other,28,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
604,greater_than_200_dm,10,existing_credits_paid_back_till_now,furniture_equipment,1275,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,2,savings_agreement_life_insurance,23,none,own,1,skilled_employee,1,none,yes,0,1
605,less_than_0_dm,24,all_credits_paid_back,furniture_equipment,2828,500_to_1000_dm,1_4_years,4,male_single,none,4,real_estate,22,stores,own,1,skilled_employee,1,yes,yes,0,1
606,no_checking_account,24,critical_account,business,4526,less_than_100_dm,1_4_years,3,male_single,none,2,real_estate,74,none,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
607,0_to_200_dm,36,existing_credits_paid_back_till_now,radio_television,2671,100_to_500_dm,1_4_years,4,female_divorced_separated_married,co_applicant,4,unknown_or_no_property,50,none,for_free,1,skilled_employee,1,none,yes,1,2
608,no_checking_account,18,existing_credits_paid_back_till_now,radio_television,2051,less_than_100_dm,0_1_year,4,male_single,none,1,real_estate,33,none,own,1,skilled_employee,1,none,yes,0,1
609,no_checking_account,15,existing_credits_paid_back_till_now,car_used,1300,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,45,bank,for_free,1,skilled_employee,2,none,yes,0,1
610,less_than_0_dm,12,existing_credits_paid_back_till_now,domestic_appliances,741,100_to_500_dm,unemployed,4,female_divorced_separated_married,none,3,savings_agreement_life_insurance,22,none,own,1,skilled_employee,1,none,yes,1,2
611,greater_than_200_dm,10,existing_credits_paid_back_till_now,car_new,1240,100_to_500_dm,7_more_years,1,female_divorced_separated_married,none,4,unknown_or_no_property,48,none,for_free,1,unskilled_resident,2,none,yes,1,2
612,less_than_0_dm,21,existing_credits_paid_back_till_now,radio_television,3357,greater_than_1000_dm,0_1_year,4,female_divorced_separated_married,none,2,car_or_other,29,bank,own,1,skilled_employee,1,none,yes,0,1
613,less_than_0_dm,24,all_credits_paid_back,car_used,3632,less_than_100_dm,1_4_years,1,female_divorced_separated_married,guarantor,4,car_or_other,22,bank,rent,1,skilled_employee,1,none,no,0,1
614,no_checking_account,18,delay_in_past,furniture_equipment,1808,less_than_100_dm,4_7_years,4,female_divorced_separated_married,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,1,2
615,0_to_200_dm,48,no_credits_taken,business,12204,unknown_or_no_savings_account,1_4_years,2,male_single,none,2,car_or_other,48,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
616,0_to_200_dm,60,delay_in_past,radio_television,9157,unknown_or_no_savings_account,1_4_years,2,male_single,none,2,unknown_or_no_property,27,none,for_free,1,management_self_employed_highly_qualified,1,none,yes,0,1
617,less_than_0_dm,6,critical_account,car_new,3676,less_than_100_dm,1_4_years,1,male_single,none,3,real_estate,37,none,rent,3,skilled_employee,2,none,yes,0,1
618,0_to_200_dm,30,existing_credits_paid_back_till_now,furniture_equipment,3441,100_to_500_dm,1_4_years,2,female_divorced_separated_married,co_applicant,4,car_or_other,21,none,rent,1,skilled_employee,1,none,yes,1,2
619,no_checking_account,12,existing_credits_paid_back_till_now,car_new,640,less_than_100_dm,1_4_years,4,male_divorced_separated,none,2,real_estate,49,none,own,1,unskilled_resident,1,none,yes,0,1
620,0_to_200_dm,21,critical_account,business,3652,less_than_100_dm,4_7_years,2,male_single,none,3,savings_agreement_life_insurance,27,none,own,2,skilled_employee,1,none,yes,0,1
621,no_checking_account,18,critical_account,car_new,1530,less_than_100_dm,1_4_years,3,male_single,none,2,savings_agreement_life_insurance,32,bank,own,2,skilled_employee,1,none,yes,1,2
622,no_checking_account,48,existing_credits_paid_back_till_now,business,3914,unknown_or_no_savings_account,1_4_years,4,male_divorced_separated,none,2,real_estate,38,bank,own,1,skilled_employee,1,none,yes,1,2
623,less_than_0_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1858,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,car_or_other,22,none,rent,1,skilled_employee,1,none,yes,0,1
624,less_than_0_dm,18,existing_credits_paid_back_till_now,radio_television,2600,less_than_100_dm,1_4_years,4,male_single,none,4,unknown_or_no_property,65,none,for_free,2,skilled_employee,1,none,yes,1,2
625,no_checking_account,15,existing_credits_paid_back_till_now,radio_television,1979,unknown_or_no_savings_account,7_more_years,4,male_single,none,2,car_or_other,35,none,own,1,skilled_employee,1,none,yes,0,1
626,greater_than_200_dm,6,existing_credits_paid_back_till_now,furniture_equipment,2116,less_than_100_dm,1_4_years,2,male_single,none,2,real_estate,41,none,own,1,skilled_employee,1,yes,yes,0,1
627,0_to_200_dm,9,all_credits_paid_back,car_new,1437,100_to_500_dm,4_7_years,2,male_single,none,3,unknown_or_no_property,29,none,own,1,skilled_employee,1,none,yes,1,2
628,no_checking_account,42,critical_account,furniture_equipment,4042,500_to_1000_dm,1_4_years,4,male_single,none,4,real_estate,36,none,own,2,skilled_employee,1,yes,yes,0,1
629,no_checking_account,9,existing_credits_paid_back_till_now,education,3832,unknown_or_no_savings_account,7_more_years,1,male_single,none,4,real_estate,64,none,own,1,unskilled_resident,1,none,yes,0,1
630,less_than_0_dm,24,existing_credits_paid_back_till_now,radio_television,3660,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,28,none,own,1,skilled_employee,1,none,yes,0,1
631,less_than_0_dm,18,all_credits_paid_back,furniture_equipment,1553,less_than_100_dm,1_4_years,4,male_single,none,3,car_or_other,44,bank,own,1,skilled_employee,1,none,yes,1,2
632,0_to_200_dm,15,existing_credits_paid_back_till_now,radio_television,1444,unknown_or_no_savings_account,0_1_year,4,male_single,none,1,savings_agreement_life_insurance,23,none,own,1,skilled_employee,1,none,yes,0,1
633,no_checking_account,9,existing_credits_paid_back_till_now,furniture_equipment,1980,less_than_100_dm,0_1_year,2,female_divorced_separated_married,co_applicant,2,car_or_other,19,none,rent,2,skilled_employee,1,none,yes,1,2
634,0_to_200_dm,24,existing_credits_paid_back_till_now,car_new,1355,less_than_100_dm,0_1_year,3,female_divorced_separated_married,none,4,car_or_other,25,none,own,1,unskilled_resident,1,yes,yes,1,2
635,no_checking_account,12,existing_credits_paid_back_till_now,education,1393,less_than_100_dm,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,47,bank,own,3,skilled_employee,2,yes,yes,0,1
636,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,1376,500_to_1000_dm,4_7_years,4,female_divorced_separated_married,none,1,car_or_other,28,none,own,1,skilled_employee,1,none,yes,0,1
637,no_checking_account,60,delay_in_past,radio_television,15653,less_than_100_dm,4_7_years,2,male_single,none,4,car_or_other,21,none,own,2,skilled_employee,1,yes,yes,0,1
638,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,1493,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,3,car_or_other,34,none,own,1,skilled_employee,2,none,yes,0,1
639,less_than_0_dm,42,delay_in_past,radio_television,4370,less_than_100_dm,4_7_years,3,male_single,none,2,savings_agreement_life_insurance,26,bank,own,2,skilled_employee,2,yes,yes,1,2
640,less_than_0_dm,18,existing_credits_paid_back_till_now,education,750,less_than_100_dm,unemployed,4,female_divorced_separated_married,none,1,real_estate,27,none,own,1,unemployed_unskilled_non_resident,1,none,yes,1,2
641,0_to_200_dm,15,existing_credits_paid_back_till_now,repairs,1308,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,38,none,own,2,unskilled_resident,1,none,yes,0,1
642,no_checking_account,15,existing_credits_paid_back_till_now,education,4623,100_to_500_dm,1_4_years,3,male_single,none,2,savings_agreement_life_insurance,40,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
643,no_checking_account,24,critical_account,radio_television,1851,less_than_100_dm,4_7_years,4,male_married_widowed,guarantor,2,car_or_other,33,none,own,2,skilled_employee,1,yes,yes,0,1
644,less_than_0_dm,18,critical_account,radio_television,1880,less_than_100_dm,4_7_years,4,male_married_widowed,none,1,savings_agreement_life_insurance,32,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
645,no_checking_account,36,delay_in_past,business,7980,unknown_or_no_savings_account,0_1_year,4,male_single,none,4,car_or_other,27,none,rent,2,skilled_employee,1,yes,yes,1,2
646,less_than_0_dm,30,no_credits_taken,furniture_equipment,4583,less_than_100_dm,1_4_years,2,male_divorced_separated,guarantor,2,real_estate,32,none,own,2,skilled_employee,1,none,yes,0,1
647,no_checking_account,12,existing_credits_paid_back_till_now,car_new,1386,500_to_1000_dm,1_4_years,2,female_divorced_separated_married,none,2,savings_agreement_life_insurance,26,none,own,1,skilled_employee,1,none,yes,1,2
648,greater_than_200_dm,24,existing_credits_paid_back_till_now,car_new,947,less_than_100_dm,4_7_years,4,male_single,none,3,unknown_or_no_property,38,bank,for_free,1,skilled_employee,2,none,yes,1,2
649,less_than_0_dm,12,existing_credits_paid_back_till_now,education,684,less_than_100_dm,1_4_years,4,male_single,none,4,car_or_other,40,none,rent,1,unskilled_resident,2,none,yes,1,2
650,less_than_0_dm,48,existing_credits_paid_back_till_now,education,7476,less_than_100_dm,4_7_years,4,male_single,none,1,unknown_or_no_property,50,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,0,1
651,0_to_200_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1922,less_than_100_dm,1_4_years,4,male_single,none,2,savings_agreement_life_insurance,37,none,own,1,unskilled_resident,1,none,yes,1,2
652,less_than_0_dm,24,existing_credits_paid_back_till_now,car_new,2303,less_than_100_dm,7_more_years,4,male_single,co_applicant,1,real_estate,45,none,own,1,skilled_employee,1,none,yes,1,2
